"","paper_title","journal","doi","Altmetric.score","policy","patent","feeds","news","posts","twitter","wiki","videos","accounts","fb","rh","rdts","googlep"
"15","Coral Reefs of Abu Dhabi, United Arab Emirates: Analysis of Management Approaches in Light of International Best Practices and a Changing Climate","Frontiers in Marine Science","10.3389/fmars.2020.00541",2.1,0,0,0,0,5,5,0,0,5,0,0,0,0
"16","Probiotics for corals","Microbiology Australia","10.1071/ma20025",2,0,0,0,0,3,3,0,0,3,0,0,0,0
"17","Why Do Corals Bleach? Conflict and Conflict Mediation in a Host/Symbiont Community","BioEssays","10.1002/bies.201800021",1.75,0,0,0,0,5,5,0,0,5,0,0,0,0
"18","Defining Coral Bleaching as a Microbial Dysbiosis within the Coral Holobiont","Microorganisms","10.3390/microorganisms8111682",10.33,0,0,1,0,7,6,0,0,7,0,0,0,0
"19","Assessing the ‘deep reef refugia’ hypothesis: focus on Caribbean reefs","Coral Reefs","10.1007/s00338-009-0581-x",39.08,3,0,1,3,10,0,3,0,10,0,0,0,0
"20","Coral restoration – A systematic review of current methods, successes, failures and future directions","PLOS ONE","10.1371/journal.pone.0226631",253.24,0,0,4,11,251,209,1,0,229,2,1,1,0
"21","Microbial disease and the coral holobiont","Trends in Microbiology","10.1016/j.tim.2009.09.004",8.632,1,0,1,0,2,0,0,0,2,0,0,0,0
"22","Cumulative impacts across Australia’s Great Barrier Reef: a mechanistic evaluation","Ecological Monographs","10.1002/ecm.1494",3.35,0,0,0,0,6,6,0,0,6,0,0,0,0
"23","Development and implementation of coral reef biocriteria in U.S. jurisdictions","Environmental Monitoring & Assessment","10.1007/s10661-008-0670-2",3,1,0,0,0,1,0,0,0,1,0,0,0,0
"24","A critical review of environmental management of the ‘not so Great’ Barrier Reef","Estuarine Coastal & Shelf Science","10.1016/j.ecss.2012.03.012",25.804,0,0,1,2,6,2,0,0,5,0,0,0,0
"25","Coral bleaching: causes and consequences","Coral Reefs","10.1007/s003380050249",17.85,0,0,2,0,8,3,2,0,8,1,0,0,0
"26","Climate Change, Coral Loss, and the Curious Case of the Parrotfish Paradigm: Why Don't Marine Protected Areas Improve Reef Resilience?","Annual Review of Marine Science","10.1146/annurev-marine-010318-095300",15.75,0,0,0,0,32,26,0,0,27,1,0,0,0
"27","Climate Change Influences on Marine Infectious Diseases: Implications for Management and Society","Annual Review of Marine Science","10.1146/annurev-marine-010213-135029",71.046,3,0,3,4,25,10,1,0,21,0,0,0,0
"28","The growth of coral reef science in the Gulf: A historical perspective","Marine Pollution Bulletin","10.1016/j.marpolbul.2013.05.016",3.25,1,0,0,0,2,1,0,0,2,0,0,0,0
"29","Do reef corals age?","Biological Reviews","10.1111/brv.12391",21,0,0,0,2,7,3,1,0,7,1,0,0,0
"30","Biology and ecology of coral mucus release","Journal of Experimental Marine Biology & Ecology","10.1016/j.jembe.2011.07.028",22.58,0,0,1,2,4,1,0,0,4,0,0,0,0
"31","The Future of Coral Reefs Subject to Rapid Climate Change: Lessons from Natural Extreme Environments","Frontiers in Marine Science","10.3389/fmars.2018.00004",70.272,1,0,1,0,137,101,0,0,105,2,0,0,0
"32","Thermal Stress and Resilience of Corals in a Climate-Changing World","Journal of Marine Science and Engineering","10.3390/jmse8010015",1.5,0,0,0,0,2,2,0,0,2,0,0,0,0
"33","Land Use Impacts on Coral Reef Health: A Ridge-to-Reef Perspective","Frontiers in Marine Science","10.3389/fmars.2019.00562",26.6,0,0,0,0,49,42,0,0,44,2,0,0,0
"34",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Sensitivity of coral calcification to ocean acidification: a meta-analysis","Global Change Biology","10.1111/gcb.12011",51.338,1,0,2,4,14,7,0,0,14,0,0,0,0
"37",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Translating resilience-based management theory to practice for coral bleaching recovery in Hawai‘i","Marine Policy","10.1016/j.marpol.2018.10.013",8.5,0,0,0,0,14,12,0,0,12,0,0,0,0
"39","Global patterns and impacts of El Niño events on coral reefs: A meta-analysis","PLOS ONE","10.1371/journal.pone.0190957",64.53,1,0,2,5,27,13,0,0,21,0,0,0,0
"40","Thermal tolerances of reef corals in the Gulf: A review of the potential for increasing coral survival and adaptation to climate change through assisted translocation","Marine Pollution Bulletin","10.1016/j.marpolbul.2012.09.006",3.25,1,0,0,0,2,1,0,0,2,0,0,0,0
"41",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Bioindicators of changes in water quality on coral reefs: review and recommendations for monitoring programmes","Coral Reefs","10.1007/s00338-009-0512-x",8.016,0,0,1,0,2,1,0,0,2,0,0,0,0
"43","Global declines in coral reef calcium carbonate production under ocean acidification and warming","Proceedings of the National Academy of Sciences of the United States of America","10.1073/pnas.2015265118",596.15,0,0,5,59,304,174,0,0,243,3,0,2,0
"44","Coral Ecosystem Resilience, Conservation and Management on the Reefs of Jamaica in the Face of Anthropogenic Activities and Climate Change","Diversity","10.3390/d2060881",0.25,0,0,0,0,1,1,0,0,1,0,0,0,0
"45","Modelling effects of geoengineering options in response to climate change and global warming: Implications for coral reefs","Computational Biology & Chemistry","10.1016/j.compbiolchem.2009.09.004",1,0,0,0,0,1,0,0,0,1,0,0,0,1
"46","Climate change and tropical marine agriculture","Journal of Experimental Botany","10.1093/jxb/erp004",3,1,0,0,0,1,0,0,0,1,0,0,0,0
"47","Climate change, global warming and coral reefs: Modelling the effects of temperature","Computational Biology & Chemistry","10.1016/j.compbiolchem.2008.04.001",13,0,0,0,1,2,1,0,0,2,0,0,0,0
"48","Similarities and Differences Between Two Deadly Caribbean Coral Diseases: White Plague and Stony Coral Tissue Loss Disease","Frontiers in Marine Science","10.3389/fmars.2021.709544",3.35,0,0,0,0,8,8,0,0,8,0,0,0,0
"49","What is the role of zooxanthellae during coral bleaching? Review of zooxanthellae and their response to environmental stress","South African Journal of Science","10.17159/sajs.2021/8369",0.75,0,0,0,0,2,1,0,0,2,1,0,0,0
"50","The past, present, and future of coral heat stress studies","Ecology and Evolution","10.1002/ece3.5576",37.8,0,0,0,0,61,59,0,0,59,0,0,0,0
"51",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","The Future of Reef Ecosystems in the Gulf of Mexico: Insights From Coupled Climate Model Simulations and Ancient Hot-House Reefs","Frontiers in Marine Science","10.3389/fmars.2019.00691",149.482,0,0,3,11,104,80,0,0,95,1,0,0,0
"54","Experimental Techniques to Assess Coral Physiology in situ Under Global and Local Stressors: Current Approaches and Novel Insights","Frontiers in Physiology","10.3389/fphys.2021.656562",15.822,0,0,1,0,17,13,0,0,14,0,0,0,0
"55",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","A new, high-resolution global mass coral bleaching database","PLOS ONE","10.1371/journal.pone.0175490",89.13,1,0,2,5,79,57,0,0,70,5,0,0,0
"57","Coral bleaching––how and why?","Marine Pollution Bulletin","10.1016/s0025-326x(03)00037-7",15.032,1,0,1,0,7,2,2,0,6,0,0,0,0
"58",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Synergies between local and climate-driven impacts on coral reefs in the Tropical Pacific: A review of issues and adaptation opportunities","Marine Pollution Bulletin","10.1016/j.marpolbul.2020.111922",0.5,0,0,0,0,1,1,0,0,1,0,0,0,0
"61","Environmental impacts of dredging and other sediment disturbances on corals: A review","Marine Pollution Bulletin","10.1016/j.marpolbul.2012.05.008",122.05,5,0,0,12,41,19,3,0,39,0,0,0,0
"62",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","The Occurrence of Mixed Infections ofSymbiodinium(Dinoflagellata) within Individual Hosts","Journal of Phycology","10.1111/j.1529-8817.2012.01220.x",0.5,0,0,0,0,1,1,0,0,1,0,0,0,0
"64","Coral bleaching: interpretation of thermal tolerance limits and thermal thresholds in tropical corals","Coral Reefs","10.1007/s003380100146",6,1,0,0,0,3,0,2,0,3,0,0,0,0
"65","New directions in coral reef microbial ecology","Environmental Microbiology","10.1111/j.1462-2920.2011.02597.x",1,0,0,0,0,2,2,0,0,2,0,0,0,0
"66","Establishing microbial baselines to identify indicators of coral reef health","Microbiology Australia","10.1071/ma18011",1,0,0,0,0,2,2,0,0,2,0,0,0,0
"67",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","The coral conservation crisis: interacting local and global stressors reduce reef resiliency and create challenges for conservation solutions","SN Applied Sciences","10.1007/s42452-021-04319-8",23.802,0,0,2,0,19,14,1,0,17,0,0,0,0
"69","Conceptualization of the Holobiont Paradigm as It Pertains to Corals","Frontiers in Physiology","10.3389/fphys.2020.566968",0.5,0,0,0,0,2,2,0,0,2,0,0,0,0
"70","Coral reef recovery dynamics in a changing world","Coral Reefs","10.1007/s00338-010-0717-z",1.5,0,0,0,0,4,1,0,0,2,0,1,0,0
"71","The significance of coral disease epizootiology for coral reef conservation","Biological Conservation","10.1016/s0006-3207(00)00073-2",3,1,0,0,0,1,0,0,0,1,0,0,0,0
"72","Increasing comparability among coral bleaching experiments","Ecological Applications","10.1002/eap.2262",135.014,0,0,2,11,89,72,0,0,85,0,0,0,0
"73","Review: Sediment-Related Controls on the Health of the Great Barrier Reef","Vadose Zone Journal","10.2136/vzj2017.05.0115",0.25,0,0,0,0,1,0,0,1,1,0,0,0,0
"74",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Defining the Core Microbiome in Corals’ Microbial Soup","Trends in Microbiology","10.1016/j.tim.2016.11.003",72.18,0,0,1,0,189,106,2,0,111,2,0,0,0
"78","Between a Reef and a Hard Place: Capacity to Map the Next Coral Reef Catastrophe","Frontiers in Marine Science","10.3389/fmars.2020.544290",18.7,0,0,0,0,43,33,0,0,33,0,0,0,0
"79","A systematic review of artificial reefs as platforms for coral reef research and conservation","PLOS ONE","10.1371/journal.pone.0261964",4.65,0,0,0,0,7,7,0,0,7,0,0,0,0
"80","Effective conservation behaviours for protecting marine environments: the views of the experts","Journal of Sustainable Tourism","10.1080/09669582.2020.1741597",0.5,0,0,0,0,2,1,0,0,1,0,0,0,0
"81",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Microplastics in the coral reefs and their potential impacts on corals: A mini-review","Science of the Total Environment","10.1016/j.scitotenv.2020.143112",1,0,0,0,0,1,0,0,0,1,0,1,0,0
"84","Climate Change, Human Impacts, and the Resilience of Coral Reefs","Science","10.1126/science.1085046",266.956,10,0,7,10,257,191,13,0,232,0,0,0,1
"85",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Coral reefs as a source of climate-active aerosols","PeerJ","10.7717/peerj.10023",1,0,0,0,0,3,2,0,0,3,1,0,0,0
"88","Dimethylsulfide (DMS), marine biogenic aerosols and the ecophysiology of coral reefs","Biogeosciences","10.5194/bg-17-2181-2020",2,0,0,0,0,3,3,0,0,3,0,0,0,0
"89","How Symbiodiniaceae meets the challenges of life during coral bleaching","Coral Reefs","10.1007/s00338-021-02115-9",1.5,0,0,0,0,3,3,0,0,3,0,0,0,0
"90",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Global gene expression patterns in Porites white patch syndrome: Disentangling symbiont loss from the thermal stress response in reef-building coral","Molecular Ecology","10.1111/mec.15608",18.85,0,0,0,0,32,30,0,0,30,0,0,0,0
"92","Coral Reef Resilience in Taiwan: Lessons from Long-Term Ecological Research on the Coral Reefs of Kenting National Park (Taiwan)","Journal of Marine Science and Engineering","10.3390/jmse7110388",4.2,0,0,0,0,7,6,0,0,6,0,0,0,0
"93","Projecting coral responses to intensifying marine heatwaves under ocean acidification","Global Change Biology","10.1111/gcb.15818",50.972,0,0,2,2,45,35,0,0,40,1,0,0,0
"94","The future of coral reefs in an age of global change","International Journal of Earth Sciences","10.1007/s005310000125",3,1,0,0,0,1,0,0,0,1,0,0,0,0
"95","The influence of resilience-based management on coral reef monitoring: A systematic review","PLOS ONE","10.1371/journal.pone.0172064",6.7,0,0,0,0,12,11,0,0,12,0,0,1,0
"96",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Carbonate budgets as indicators of functional reef “health”: A critical review of data underpinning census-based methods and current knowledge gaps","Ecological Indicators","10.1016/j.ecolind.2019.105857",19.65,0,0,0,1,17,16,0,0,17,0,0,0,0
"98",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Experimental biology of coral reef ecosystems","Journal of Experimental Marine Biology & Ecology","10.1016/j.jembe.2003.12.027",6,1,0,0,0,2,0,1,0,2,0,0,0,0
"101",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Ecological solutions to reef degradation: optimizing coral reef restoration in the Caribbean and Western Atlantic","PeerJ","10.7717/peerj.2597",13.6,1,0,0,0,13,8,3,0,13,1,0,0,0
"104","Perspectives on Massive Coral Growth Rates in a Changing Ocean","The Biological Bulletin","10.1086/bblv226n3p187",1,0,0,0,0,2,2,0,0,2,0,0,0,0
"105","10th Anniversary Review: a changing climate for coral reefs","Journal of Environmental Monitoring","10.1039/b714627m",5.016,0,0,1,0,1,0,0,0,1,0,0,0,0
"106","Long-term change in coral cover and the effectiveness of marine protected areas in the Philippines: a meta-analysis","Hydrobiologia","10.1007/s10750-013-1720-5",3.7,0,0,0,0,6,5,0,0,5,0,0,0,0
"107","Intracellular Bacterial Symbionts in Corals: Challenges and Future Directions","Microorganisms","10.3390/microorganisms9112209",8.25,0,0,0,0,13,13,0,0,13,0,0,0,0
"108",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","Innate immunity and cnidarian-Symbiodiniaceae mutualism","Developmental & Comparative Immunology","10.1016/j.dci.2018.09.020",3.35,0,0,0,0,7,7,0,0,7,0,0,0,0
"110","Integrating physiology with remote sensing to advance the prediction of coral bleaching events","Remote Sensing of Environment","10.1016/j.rse.2020.111794",11,0,0,0,0,16,16,0,0,16,0,0,0,0
"111","Impacts of heat stress on soft corals, an overlooked and highly vulnerable component of coral reef ecosystems, at a central equatorial Pacific atoll","Biological Conservation","10.1016/j.biocon.2021.109328",14.4,0,0,0,0,23,22,0,0,22,0,0,0,0
"112",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Western Indian Ocean coral communities: bleaching responses and susceptibility to extinction","Marine Ecology Progress Series","10.3354/meps337001",3,1,0,0,0,1,0,0,0,1,0,0,0,0
"114","A review of coral bleaching specimen collection, preservation, and laboratory processing methods","PeerJ","10.7717/peerj.11763",21.3,0,0,0,0,36,32,0,0,33,1,0,0,0
"115","Thirty years of coral heat-stress experiments: a review of methods","Coral Reefs","10.1007/s00338-020-01931-9",30.75,0,0,0,0,67,52,0,0,52,0,0,0,0
"116","Using resilience assessments to inform the management and conservation of coral reef ecosystems","Journal of Environmental Management","10.1016/j.jenvman.2020.111384",6.2,0,0,0,0,9,9,0,0,9,0,0,0,0
"117","The future of resilience-based management in coral reef ecosystems","Journal of Environmental Management","10.1016/j.jenvman.2018.11.034",40.53,2,0,1,0,51,45,0,0,48,0,0,0,0
"118","Coral–algal phase shifts on coral reefs: Ecological and environmental aspects","Progress in Oceanography","10.1016/j.pocean.2004.02.014",19.08,2,0,1,1,4,0,0,0,4,0,0,0,0
"119",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","A Critical Review of Organic Ultraviolet Filter Exposure, Hazard, and Risk to Corals","Environmental Toxicology & Chemistry","10.1002/etc.4948",55.05,0,0,0,4,44,31,0,0,35,0,0,0,0
"122","Systematic review and meta-analysis of 50 years of coral disease research visualized through the scope of network theory","PeerJ","10.7717/peerj.7041",20.3,0,0,0,0,43,28,0,0,29,1,0,0,0
"123","Research gaps of coral ecology in a changing world","Marine Environmental Research","10.1016/j.marenvres.2018.06.021",8.272,0,0,1,0,2,1,0,0,2,0,0,0,0
"124","Coral Disease Causes, Consequences, and Risk within Coral Restoration","Trends in Microbiology","10.1016/j.tim.2020.06.002",22.5,0,0,0,0,43,36,0,0,36,0,0,0,0
"125","Nutrient Availability and Metabolism Affect the Stability of Coral–Symbiodiniaceae Symbioses","Trends in Microbiology","10.1016/j.tim.2019.03.004",51.35,0,0,0,0,113,85,1,0,86,0,0,0,0
"126","Coral-Associated Bacterial Assemblages: Current Knowledge and the Potential for Climate-Driven Impacts","Integrative & Comparative Biology","10.1093/icb/icq061",2.1,0,0,0,0,3,2,0,0,3,1,0,0,0
"127","Herbivory versus corallivory: are parrotfish good or bad for Caribbean coral reefs?","Coral Reefs","10.1007/s00338-009-0501-0",3,1,0,0,0,2,0,0,0,1,0,0,0,0
"128","Remote sensing of coral reefs and their physical environment","Marine Pollution Bulletin","10.1016/j.marpolbul.2003.10.031",3,0,2,0,0,2,0,0,0,2,0,0,0,0
"129","The Role of Vibrios in Diseases of Corals","Microbiology Spectrum","10.1128/microbiolspec.ve-0006-2014",15.25,0,0,0,1,4,1,1,0,3,0,0,0,0
"130","Water quality thresholds for coastal contaminant impacts on corals: A systematic review and meta-analysis","Science of the Total Environment","10.1016/j.scitotenv.2021.148632",7.3,0,0,0,0,11,11,0,0,11,0,0,0,0
"131","Capturing the cornerstones of coral reef resilience: linking theory to practice","Coral Reefs","10.1007/s00338-008-0426-z",11.016,2,0,1,0,3,0,0,0,3,0,0,0,0
"132","Coral reef disturbance and resilience in a human-dominated environment","Trends in Ecology & Evolution","10.1016/s0169-5347(00)01948-0",11.232,2,0,1,0,3,0,0,0,3,0,0,0,0
"133",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Incorporating Uncertainty in Predicting the Future Response of Coral Reefs to Climate Change","Annual Review of Ecology, Evolution & Systematics","10.1146/annurev-ecolsys-120213-091811",18.522,0,0,2,1,4,0,0,0,4,1,0,0,0
"135","Projecting Coral Reef Futures Under Global Warming and Ocean Acidification","Science","10.1126/science.1204794",85.858,2,0,5,3,47,25,3,0,39,0,1,0,0
"136","Molecular tools for coral reef restoration: Beyond biomarker discovery","Conservation Letters","10.1111/conl.12687",21.15,0,0,0,0,41,31,0,0,32,1,0,0,0
"137","Coral Probiotics: Premise, Promise, Prospects","Annual Review of Animal Biosciences","10.1146/annurev-animal-090120-115444",77.8,0,0,0,3,148,88,0,0,91,0,0,0,0
"138","Beneficial Microorganisms for Corals (BMC): Proposed Mechanisms for Coral Health and Resilience","Frontiers in Microbiology","10.3389/fmicb.2017.00341",81.06,0,0,2,1,143,95,2,0,103,3,0,0,0
"139","Multiple Stressors and Ecological Complexity Require a New Approach to Coral Reef Research","Frontiers in Marine Science","10.3389/fmars.2016.00036",77.044,1,0,2,7,33,14,3,0,30,3,0,0,0
"140","Novel tools integrating metabolic and gene function to study the impact of the environment on coral symbiosis","Frontiers in Microbiology","10.3389/fmicb.2014.00448",0.75,0,0,0,0,2,2,0,0,2,0,0,0,0
"141",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","The Urgent Need for Robust Coral Disease Diagnostics","PLoS Pathogens","10.1371/journal.ppat.1002183",1,0,0,0,0,1,1,0,0,1,0,0,0,0
"145",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Coral reefs studies and threats in Malaysia: a mini review","Reviews in Environmental Science & Biotechnology","10.1007/s11157-011-9261-8",3.35,0,0,0,0,4,4,0,0,4,0,0,0,0
"147","Leveraging new knowledge of Symbiodinium community regulation in corals for conservation and reef restoration","Marine Ecology Progress Series","10.3354/meps12652",11.8,0,0,0,0,21,15,1,0,17,1,0,0,0
"148","Beneath the surface: community assembly and functions of the coral skeleton microbiome","Microbiome","10.1186/s40168-019-0762-y",9.95,0,0,0,0,22,19,0,0,19,0,0,0,0
"149","Corallivory in the Anthropocene: Interactive Effects of Anthropogenic Stressors and Corallivory on Coral Reefs","Frontiers in Marine Science","10.3389/fmars.2018.00525",20.63,0,0,1,0,27,25,0,0,26,0,0,0,0
"150",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Coral diseases: what is really known?","Trends in Ecology & Evolution","10.1016/s0169-5347(98)01460-8",3,1,0,0,0,2,0,0,0,1,0,0,0,0
"152","Coral Reefs","Annals of the New York Academy of Sciences","10.1111/j.1749-6632.2009.04493.x",13.35,1,0,0,1,4,2,0,0,4,0,0,0,0
"153","Augmenting coral adaptation to climate change via coral gardening (the nursery phase)","Journal of Environmental Management","10.1016/j.jenvman.2021.112727",9.316,0,0,1,0,3,2,0,0,3,0,0,0,0
"154","Towards Developing a Mechanistic Understanding of Coral Reef Resilience to Thermal Stress Across Multiple Scales","Current Climate Change Reports","10.1007/s40641-018-0087-0",47.4,0,0,1,3,26,20,0,0,26,2,0,0,0
"155",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Applying model approaches in non-model systems: A review and case study on coral cell culture","PLOS ONE","10.1371/journal.pone.0248953",12.05,0,0,0,0,19,18,0,0,18,0,0,0,0
"157","A Unique Coral Community in the Mangroves of Hurricane Hole, St. John, US Virgin Islands","Diversity","10.3390/d9030029",1.75,0,0,0,0,5,3,0,0,3,0,0,0,0
"158",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Hurricanes and coral reefs: The intermediate disturbance hypothesis revisited","Coral Reefs","10.1007/bf00334471",3,0,0,0,0,1,0,1,0,1,0,0,0,0
"161","Considering Commercial Vessels as Potential Vectors of Stony Coral Tissue Loss Disease","Frontiers in Marine Science","10.3389/fmars.2021.709764",1.6,0,0,0,0,4,3,0,0,4,1,0,0,0
"162","The role of microorganisms in coral bleaching","ISME Journal: Multidisciplinary Journal of Microbial Ecology","10.1038/ismej.2008.104",4,0,0,0,0,4,3,1,0,4,0,0,0,0
"163","The role of microorganisms in coral health, disease and evolution","Nature Reviews Microbiology","10.1038/nrmicro1635",56.056,0,0,3,4,16,1,7,0,16,0,1,0,0
"164","The Vibrio shiloi/Oculina patagonica Model System of Coral Bleaching","Annual Review of Microbiology","10.1146/annurev.micro.58.030603.123610",10.056,0,0,1,0,2,0,1,0,2,0,0,0,0
"165","Molecular Toxicology of Corals: A Review","Journal of Toxicology and Environmental Health, Part B","10.1080/10937404.2011.615112",0.5,0,0,0,0,1,1,0,0,1,0,0,0,0
"166","The engine of the reef: photobiology of the coralâ€“algal symbiosis","Frontiers in Microbiology","10.3389/fmicb.2014.00422",30.75,0,0,1,2,8,4,0,0,8,1,0,0,0
"167","Distribution, uses, and anthropic pressures on reef ecosystems of Mexico","Ocean & Coastal Management","10.1016/j.ocecoaman.2018.08.014",1.6,0,0,0,0,3,3,0,0,3,0,0,0,0
"168","Integrated approach to understanding the onset and pathogenesis of black band disease in corals","Environmental Microbiology","10.1111/1462-2920.13122",21.706,1,0,1,0,22,17,0,0,19,0,0,0,0
"169","What can South African reefs tell us about the future of high-latitude coral systems?","Marine Pollution Bulletin","10.1016/j.marpolbul.2018.09.014",0.25,0,0,0,0,1,1,0,0,1,0,0,0,0
"170","Bioerosion: the other ocean acidification problem","ICES Journal of Marine Science / Journal du Conseil","10.1093/icesjms/fsw254",12.872,1,0,1,0,7,4,0,1,7,0,0,0,0
"171","A map of human impacts to a “pristine” coral reef ecosystem, the Papahanaumokuakea Marine National Monument","Coral Reefs","10.1007/s00338-009-0490-z",4,1,0,0,0,3,2,0,0,3,0,0,0,0
"172","Diseases and pathogens of marine invertebrate corals in Indian reefs","Journal of Invertebrate Pathology","10.1016/j.jip.2020.107373",0.5,0,0,0,0,1,1,0,0,1,0,0,0,0
"173","Multi-Partner Interactions in Corals in the Face of Climate Change","The Biological Bulletin","10.1086/bblv223n1p66",5.272,0,0,1,0,1,0,0,0,1,0,0,0,0
"174","Diseases in coral aquaculture: causes, implications and preventions","Aquaculture","10.1016/j.aquaculture.2013.02.037",3.5,0,0,0,0,4,1,2,0,4,1,0,0,0
"175","Effects of ultraviolet radiation on corals and other coral reef organisms","Global Change Biology","10.1111/j.1365-2486.1996.tb00065.x",3.1,0,0,0,0,9,4,0,0,5,1,0,0,0
"176","Modes of coral disease transmission: how do diseases spread between individuals and among populations?","Marine Biology","10.1007/s00227-019-3490-8",6.7,0,0,0,0,11,11,0,0,11,0,0,0,0
"177",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
