Timestamp,Extractor's Initials,Title,First Author Name,Article Type,"Quantitative synthesis (Computational Synthesis, Mathematical Synthesis)",Methodological,"Remote Sensing (satellite sensing, remote-collection, satellite-collection)","Monitoring (Surveying, routine observation, annual surveys)",Ecosystem Management/Conservation,Bleaching,Disease,Biodiversity of coral reef assemblage,Biodiversity of microbial community,Coral and/or Coral Reef Resilience/Tolerance/Adaptability,Coral Recovery/Restoration/Rehabilitation,Coral Cover/Mortality,"Pathogen (virus, bacteria, viral agent)","Microbiome (holobiont, symbionts)",Symbiosis,Climate Change,Anthropogenic Impacts,Habitat Range Shift (change in geographic range),Increased Sea Surface Temperature,UV Radiation,"Predation (e.g., invasive species)","Acidification (acidify, lowered pH, more acidic waters)","Calcification (calcify, calcified)",Bioerosion (biodegradation - breakdown of organic material through bacterial means),"Physical Damage - Wave Action (e.g., storms/cyclones/hurricanes)","Physical Damage - Human (e.g., boating, tourism, land development, shipwreck)","Chemical Exposure (e.g., oils, hormones, drugs, sewage exposure, increased nutrients, herbicides)","Non-chemical pollution (e.g., sedimentation, eutrophication, solids)",Fishing,Other,
2/2/2023 15:35:03,SB,The role of hybridization in the evolution of reef corals,Willis BL,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,evolution; hybridization,
2/2/2023 15:30:59,SB,Conservation genetics and the resilience of reef-building corals,Van Oppen MJH,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,genetics,
2/2/2023 15:26:57,SB,Complexities of coral reef recovery,Hoegh-Guldberg O,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,herbivores,
2/2/2023 15:24:52,SB,Understanding coral reefs as complex systems: Degradation and prospects for recovery,Dizon RT,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,succession,
2/2/2023 15:22:09,SB,Review on coral reefs biodiversity and ecological function,Zhao MX,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,,
2/2/2023 15:17:22,SB,"Artificial reefs vs coral transplantation as restoration tools for mitigating coral reef deterioration: Benefits, concerns, and proposed guidelines",Abelson A,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,phase shift; herbivores,
2/2/2023 15:13:19,SB,What do we know about Eilat (Red Sea) reef degradation? A critical examination of the published literature,Rinkevich B,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,reproduction; algae,
2/2/2023 15:05:07,SB,"Fatty acids and other lipids of corals: Composition, distribution, and biosynthesis",Imbs AB,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,physiology,
2/2/2023 14:20:24,SB,Conservation of coral reefs through active restoration measures: Recent approaches and last decade progress,Rinkevich B,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
2/2/2023 14:11:27,SB,Effects of terrestrial runoff on the ecology of corals and coral reefs: Review and synthesis,Fabricius KE,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,reproduction,
2/2/2023 14:02:05,SB,"Deep-water Oculina coral reefs of Florida: Biology, impacts, and management",Reed JK,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,MPAs,
2/2/2023 13:48:32,SB,Applying habitat equivalency analysis for coral reef damage assessment and restoration,Milon JW,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,reproduction,
2/1/2023 17:50:21,SB,Coastal nutrification in Brazil: A review of the role of nutrient excess on coral reef demise,Costa Jr. OS,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,phase shift,
2/1/2023 17:47:08,SB,"Utility of shallow-water ATRIS images in defining biogeologic processes and self-similarity in skeletal scleractinia, Florida reefs",Lidz BH,Narrative Review,No/Unclear,Yes,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,,
2/1/2023 17:42:42,SB,Impact of coral predators on tropical reefs,Rotjan RD,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
2/1/2023 17:39:34,SB,Coral reef management and conservation in light of rapidly evolving ecological paradigms,Mumby PJ,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,herbivores,
2/1/2023 17:34:58,SB,Capturing the cornerstones of coral reef resilience: Linking theory to practice,Nyström M,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
2/1/2023 17:30:12,SB,Alternative states on coral reefs: Beyond coral-macroalgal phase shifts,Norström AV,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,phase shift,
2/1/2023 17:27:41,SB,Ecology of mesophotic coral reefs,Lesser MP,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
2/1/2023 17:20:08,SB,The future of coral reefs: a microbial perspective,Ainsworth TD,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
2/1/2023 17:15:40,SB,Rising to the challenge of sustaining coral reef resilience,Hughes TP,Narrative Review,No/Unclear,Yes,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,phase shift,
2/1/2023 17:11:56,SB,Global disparity in the resilience of coral reefs,Roff G,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,phase shift; herbivore,
2/1/2023 11:29:19,SB,A review of reef restoration and Coral propagation using the threatened genus Acropora in the Caribbean and western Atlantic,Young CN,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
2/1/2023 11:24:22,SB,The Wicked Problem of China's Disappearing Coral Reefs,Hughes TP,Data/Quantitative Synthesis,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,Yes,,
2/1/2023 11:04:05,SB,Global mismatch between research effort and conservation needs of tropical coral reefs,Fisher R,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
2/1/2023 10:59:53,SB,Conserving potential coral reef refuges at high latitudes,Beger M,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,reproduction,
2/1/2023 10:39:54,SB,"Deep-sea corals: Out of sight, but no longer out of mind",Roberts S,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,,
1/31/2023 22:17:44,SB,Remote Sensing and Modeling of Coral Reef Resilience,Knudby A,Narrative Review,No/Unclear,Yes,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,herbivores; interaction,
1/31/2023 22:14:14,SB,Cold-water corals in a changing ocean,Roberts JM,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,,
1/31/2023 22:11:41,SB,Informing policy to protect coastal coral reefs: Insight from a global review of reducing agricultural pollution to coastal ecosystems,Kroon FJ,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,,
1/31/2023 22:08:41,SB,"Geomorphic patterns, internal architecture and reef growth in a macrotidal, high-turbidity setting of coral reefs from the Kimberley bioregion",Collins LB,Narrative Review,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,,
1/31/2023 21:59:21,SB,Anticipative management for coral reef ecosystem services in the 21st century,Rogers A,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,,
1/31/2023 21:53:59,SB,"Novel tradable instruments in the conservation of coral reefs, based on the coral gardening concept for reef restoration",Rinkevich B,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/31/2023 21:48:16,SB,"Effects of increased mortality on gorgonian corals (Cnidaria, Octocorallia): different demographic features may lead affected populations to unexpected recovery and new equilibrium points",Santangelo G,Narrative Review,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,reproduction,
1/31/2023 21:40:51,SB,How models can support ecosystem-based management of coral reefs,Weijerman M,Narrative Review,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,interaction,
1/31/2023 21:31:17,SB,Ocean acidification: Linking science to management solutions using the Great Barrier Reef as a case study,Albright R,Narrative Review,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/31/2023 21:23:24,SB,Benchmarks in organism performance and their use in comparative analyses,Edmunds PJ,"Data/Quantitative Synthesis, Meta-analysis",Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,respiration,
1/31/2023 18:05:58,SB,Detecting regional variation using meta-analysis and large-scale sampling: Latitudinal patterns in recruitment,Hughes TP,"Data/Quantitative Synthesis, Meta-analysis",Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,reproduction,
1/31/2023 15:04:15,SB,Decline in symbiont densities of tropical and subtropical scleractinian corals under ocean acidification,Mason RAB,"Data/Quantitative Synthesis, Meta-analysis",Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
1/30/2023 21:05:55,SB,Management strategies for coral reefs and people under global environmental change: 25 years of scientific research,Comte A,"Narrative Review, Systematic Review",No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,Yes,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,No/Unclear,,
